region1,region2,rtt,bw,value,abb1,abb2,label,level
us-east4-c,client-us-west2-a,67.155,348.0,67.15787356321839,us,us,True,1
asia-south2-a,client-asia-southeast1-b,67.762,323.0,67.7650959752322,asia,asia,True,1
northamerica-northeast2-a,client-us-west2-a,67.771,342.0,67.77392397660819,northamerica,us,False,1
northamerica-northeast1-a,client-us-west4-a,68.122,339.0,68.12494985250737,northamerica,us,False,1
us-west4-a,client-northamerica-northeast1-a,68.786,343.0,68.78891545189505,us,northamerica,False,1
asia-southeast1-b,client-asia-northeast3-a,70.649,303.0,70.652300330033,asia,asia,True,1
asia-southeast1-b,client-asia-south2-a,71.262,336.0,71.26497619047619,asia,asia,True,1
asia-northeast3-a,client-asia-southeast1-b,71.98899999999999,330.0,71.99203030303029,asia,asia,True,1
asia-southeast2-a,client-asia-south1-c,73.282,314.0,73.2851847133758,asia,asia,True,1
us-west2-a,client-northamerica-northeast1-a,73.311,316.0,73.31416455696203,us,northamerica,False,1
asia-southeast1-b,client-asia-northeast1-b,73.48899999999999,310.0,73.4922258064516,asia,asia,True,1
northamerica-northeast1-a,client-us-west2-a,73.527,316.0,73.53016455696202,northamerica,us,False,1
asia-south1-c,client-asia-southeast2-a,74.074,307.0,74.07725732899023,asia,asia,True,1
europe-west2-c,client-us-east4-c,77.58,296.0,77.58337837837837,europe,us,False,1
asia-northeast2-a,client-asia-southeast1-b,77.722,287.0,77.72548432055748,asia,asia,True,1
northamerica-northeast1-a,client-europe-west2-c,77.748,295.0,77.75138983050847,northamerica,europe,False,1
us-east4-c,client-europe-west2-c,78.422,296.0,78.42537837837837,us,europe,False,1
europe-west2-c,client-northamerica-northeast1-a,78.816,291.0,78.81943642611684,europe,northamerica,False,1
asia-northeast1-b,client-asia-southeast2-a,80.97,263.0,80.97380228136882,asia,asia,True,1
asia-southeast1-b,client-asia-northeast2-a,81.194,285.0,81.19750877192983,asia,asia,True,1
asia-south2-a,client-asia-southeast2-a,81.421,275.0,81.42463636363637,asia,asia,True,1
europe-west1-b,client-us-east4-c,81.568,282.0,81.57154609929079,europe,us,False,1
us-east4-c,client-europe-west1-b,81.725,282.0,81.72854609929078,us,europe,False,1
europe-west1-b,client-northamerica-northeast1-a,81.851,280.0,81.85457142857143,europe,northamerica,False,1
asia-southeast2-a,client-asia-south2-a,82.171,274.0,82.1746496350365,asia,asia,True,1
australia-southeast2-a,client-asia-southeast1-b,82.473,270.0,82.4767037037037,australia,asia,False,1
northamerica-northeast1-a,client-europe-west1-b,82.6,277.0,82.60361010830324,northamerica,europe,False,1
asia-southeast1-b,client-australia-southeast2-a,82.8,268.0,82.80373134328357,asia,australia,False,1
asia-southeast2-a,client-asia-northeast3-a,83.74700000000001,277.0,83.75061010830326,asia,asia,True,1
northamerica-northeast1-a,client-europe-west4-a,84.181,270.0,84.1847037037037,northamerica,europe,False,1
europe-west2-c,client-northamerica-northeast2-a,84.539,271.0,84.54269003690037,europe,northamerica,False,1
asia-northeast1-b,client-asia-southeast1-b,84.946,287.0,84.94948432055749,asia,asia,True,1
europe-west4-a,client-us-east4-c,85.084,268.0,85.08773134328358,europe,us,False,1
us-east4-c,client-europe-west4-a,85.109,268.0,85.11273134328357,us,europe,False,1
europe-west4-a,client-northamerica-northeast1-a,85.27,268.0,85.27373134328357,europe,northamerica,False,1
europe-west3-c,client-us-east4-c,86.709,262.0,86.71281679389314,europe,us,False,1
asia-south1-c,client-asia-east2-a,86.855,264.0,86.85878787878788,asia,asia,True,1
asia-northeast3-a,client-asia-southeast2-a,87.46600000000001,280.0,87.46957142857144,asia,asia,True,1
us-east4-c,client-europe-west3-c,87.775,260.0,87.77884615384616,us,europe,False,1
europe-west2-c,client-us-east1-b,87.87899999999999,258.0,87.88287596899224,europe,us,False,1
europe-west3-c,client-northamerica-northeast1-a,88.132,257.0,88.13589105058367,europe,northamerica,False,1
